fish.Id,treatment,day,parasite.count,standard.length,max.parasite.count,area.under.curve,slope.curve,death.day,peak.parasite.day
N1,chronic noise,0,2,17.6,2,1.5,-1,7,NA
N1,chronic noise,1,1,17.6,2,2,0,7,NA
N1,chronic noise,3,1,17.6,2,1,-0.5,7,NA
N1,chronic noise,5,0,17.6,2,NA,NA,7,NA
N1,chronic noise,7,NA,17.6,2,NA,NA,7,NA
N1,chronic noise,9,NA,17.6,2,NA,NA,7,NA
N1,chronic noise,11,NA,17.6,2,NA,NA,7,NA
N1,chronic noise,13,NA,17.6,2,NA,NA,7,NA
N1,chronic noise,15,NA,17.6,2,NA,NA,7,NA
N1,chronic noise,17,NA,17.6,2,NA,NA,7,NA
N2,chronic noise,0,2,19.4,10,2,0,NA,7
N2,chronic noise,1,2,19.4,10,5,0.5,NA,7
N2,chronic noise,3,3,19.4,10,11,2.5,NA,7
N2,chronic noise,5,8,19.4,10,18,1,NA,7
N2,chronic noise,7,10,19.4,10,13,-3.5,NA,7
N2,chronic noise,9,3,19.4,10,7,0.5,NA,7
N2,chronic noise,11,4,19.4,10,6,-1,NA,7
N2,chronic noise,13,2,19.4,10,2,-1,NA,7
N2,chronic noise,15,0,19.4,10,0,0,NA,7
N2,chronic noise,17,0,19.4,10,NA,NA,NA,7
N3,chronic noise,0,2,17.7,2,2,0,NA,1
N3,chronic noise,1,2,17.7,2,3,-0.5,NA,1
N3,chronic noise,3,1,17.7,2,2,0,NA,1
N3,chronic noise,5,1,17.7,2,1,-0.5,NA,1
N3,chronic noise,7,0,17.7,2,0,0,NA,1
N3,chronic noise,9,0,17.7,2,0,0,NA,1
N3,chronic noise,11,0,17.7,2,0,0,NA,1
N3,chronic noise,13,0,17.7,2,0,0,NA,1
N3,chronic noise,15,0,17.7,2,0,0,NA,1
N3,chronic noise,17,0,17.7,2,NA,NA,NA,1
N4,chronic noise,0,2,16.4,439,2,0,17,15
N4,chronic noise,1,2,16.4,439,7,1.5,17,15
N4,chronic noise,3,5,16.4,439,12,1,17,15
N4,chronic noise,5,7,16.4,439,30,8,17,15
N4,chronic noise,7,23,16.4,439,54,4,17,15
N4,chronic noise,9,31,16.4,439,133,35.5,17,15
N4,chronic noise,11,102,16.4,439,284,40,17,15
N4,chronic noise,13,182,16.4,439,621,128.5,17,15
N4,chronic noise,15,439,16.4,439,NA,NA,17,15
N4,chronic noise,17,NA,16.4,439,NA,NA,17,15
N5,chronic noise,0,2,16.7,281,2,0,NA,17
N5,chronic noise,1,2,16.7,281,6,1,NA,17
N5,chronic noise,3,4,16.7,281,17,4.5,NA,17
N5,chronic noise,5,13,16.7,281,45,9.5,NA,17
N5,chronic noise,7,32,16.7,281,125,30.5,NA,17
N5,chronic noise,9,93,16.7,281,195,4.5,NA,17
N5,chronic noise,11,102,16.7,281,276,36,NA,17
N5,chronic noise,13,174,16.7,281,387,19.5,NA,17
N5,chronic noise,15,213,16.7,281,494,34,NA,17
N5,chronic noise,17,281,16.7,281,NA,NA,NA,17
N6,chronic noise,0,2,17.1,451,2,0,NA,17
N6,chronic noise,1,2,17.1,451,10,3,NA,17
N6,chronic noise,3,8,17.1,451,24,4,NA,17
N6,chronic noise,5,16,17.1,451,71,19.5,NA,17
N6,chronic noise,7,55,17.1,451,112,1,NA,17
N6,chronic noise,9,57,17.1,451,166,26,NA,17
N6,chronic noise,11,109,17.1,451,285,33.5,NA,17
N6,chronic noise,13,176,17.1,451,501,74.5,NA,17
N6,chronic noise,15,325,17.1,451,776,63,NA,17
N6,chronic noise,17,451,17.1,451,NA,NA,NA,17
N7,chronic noise,0,2,16.1,58,2.5,1,9,7
N7,chronic noise,1,3,16.1,58,15,4.5,9,7
N7,chronic noise,3,12,16.1,58,37,6.5,9,7
N7,chronic noise,5,25,16.1,58,83,16.5,9,7
N7,chronic noise,7,58,16.1,58,NA,NA,9,7
N7,chronic noise,9,NA,16.1,58,NA,NA,9,7
N7,chronic noise,11,NA,16.1,58,NA,NA,9,7
N7,chronic noise,13,NA,16.1,58,NA,NA,9,7
N7,chronic noise,15,NA,16.1,58,NA,NA,9,7
