treatment,tot.parasite.count
chronic noise,4
chronic noise,34
chronic noise,6
chronic noise,793
chronic noise,916
chronic noise,1201
chronic noise,100
chronic noise,101
chronic noise,831
chronic noise,5
chronic noise,751
chronic noise,1002
chronic noise,89
chronic noise,298
chronic noise,1623
chronic noise,1166
chronic noise,367
chronic noise,624
chronic noise,295
chronic noise,411
chronic noise,4
chronic noise,212
chronic noise,507
chronic noise,283
chronic noise,282
chronic noise,42
chronic noise,295
chronic noise,255
acute noise,691
acute noise,1752
acute noise,1866
acute noise,438
acute noise,1949
acute noise,217
acute noise,55
acute noise,2060
acute noise,916
acute noise,944
acute noise,850
acute noise,2513
acute noise,228
acute noise,20
acute noise,1514
acute noise,0
acute noise,2736
acute noise,766
acute noise,2542
acute noise,344
acute noise,112
acute noise,71
acute noise,308
acute noise,1338
