fish.Id,treatment,tot.parasite.count
N29,acute noise,691
N30,acute noise,1752
N31,acute noise,1866
N32,acute noise,438
N33,acute noise,1949
N34,acute noise,217
N35,acute noise,55
N36,acute noise,2060
N37,acute noise,916
N38,acute noise,944
N39,acute noise,850
N40,acute noise,2513
N41,acute noise,228
N42,acute noise,20
N43,acute noise,1514
N44,acute noise,0
N45,acute noise,2736
N46,acute noise,766
N47,acute noise,2542
N48,acute noise,344
N49,acute noise,112
N50,acute noise,71
N51,acute noise,308
N52,acute noise,1338
N1,chronic noise,4
N2,chronic noise,34
N3,chronic noise,6
N4,chronic noise,793
N5,chronic noise,916
N6,chronic noise,1201
N7,chronic noise,100
N8,chronic noise,101
N9,chronic noise,831
N10,chronic noise,5
N11,chronic noise,751
N12,chronic noise,1002
N13,chronic noise,89
N14,chronic noise,298
N15,chronic noise,1623
N16,chronic noise,1166
N17,chronic noise,367
N18,chronic noise,624
N19,chronic noise,295
N20,chronic noise,411
N21,chronic noise,4
N22,chronic noise,212
N23,chronic noise,507
N24,chronic noise,283
N25,chronic noise,282
N26,chronic noise,42
N27,chronic noise,295
N28,chronic noise,255
C1,No Noise,170
C2,No Noise,1071
C3,No Noise,1362
C4,No Noise,885
C5,No Noise,833
C6,No Noise,14
C7,No Noise,747
C8,No Noise,3
C9,No Noise,216
C10,No Noise,1288
C11,No Noise,18
C12,No Noise,633
C13,No Noise,48
C14,No Noise,990
C15,No Noise,1354
C16,No Noise,819
C17,No Noise,128
C18,No Noise,1777
C19,No Noise,394
C20,No Noise,624
C21,No Noise,804
C22,No Noise,133
C23,No Noise,61
C24,No Noise,854
C25,No Noise,10
C26,No Noise,9
C27,No Noise,157
C28,No Noise,733
C29,No Noise,1195
C30,No Noise,7
C31,No Noise,993
C32,No Noise,0
C33,No Noise,264
C34,No Noise,160
C35,No Noise,52
C36,No Noise,173
C37,No Noise,1455
C38,No Noise,751
C39,No Noise,991
C40,No Noise,583
C41,No Noise,493
C42,No Noise,1100
C43,No Noise,30
C44,No Noise,645
C45,No Noise,1335
C46,No Noise,635
C47,No Noise,449
C48,No Noise,59
C49,No Noise,990
C50,No Noise,1354
C51,No Noise,819
C52,No Noise,128
C53,No Noise,1777
C54,No Noise,394
