fish.Id,treatment,tot_parasite,standard.length
N1,chronic noise,4,17.6
N2,chronic noise,34,19.4
N3,chronic noise,6,17.7
N4,chronic noise,793,16.4
N5,chronic noise,916,16.7
N6,chronic noise,1201,17.1
N7,chronic noise,100,16.1
N8,chronic noise,101,15.6
N9,chronic noise,831,15
N10,chronic noise,5,14.2
N11,chronic noise,751,20.3
N12,chronic noise,1002,15.5
N13,chronic noise,89,16.5
N14,chronic noise,298,18.6
N15,chronic noise,1623,19.3
N16,chronic noise,1166,17.1
N17,chronic noise,367,20.4
N18,chronic noise,624,18.4
N19,chronic noise,295,19.3
N20,chronic noise,411,18.1
N21,chronic noise,4,18
N22,chronic noise,212,17.5
N23,chronic noise,507,17.7
N24,chronic noise,283,20.5
N25,chronic noise,282,17.1
N26,chronic noise,42,18.4
N27,chronic noise,295,20.3
N28,chronic noise,255,17.7
C1,No Noise,170,18.9
C2,No Noise,1071,14.4
C3,No Noise,1362,16.6
C4,No Noise,885,17.5
C5,No Noise,833,15.4
C6,No Noise,14,15.4
C7,No Noise,747,16.8
C8,No Noise,3,17.4
C9,No Noise,216,16.1
C10,No Noise,1288,17.1
C11,No Noise,18,17
C12,No Noise,633,15.9
C13,No Noise,48,14.9
C14,No Noise,990,18.3
C15,No Noise,1354,20.9
C16,No Noise,819,17.4
C17,No Noise,128,19.3
C18,No Noise,1777,21.3
C19,No Noise,394,20.7
C20,No Noise,624,18.6
C21,No Noise,804,19.2
C22,No Noise,133,23.4
C23,No Noise,61,17.9
C24,No Noise,854,18.6
C25,No Noise,10,19.3
C26,No Noise,9,20.9
C27,No Noise,157,20.5
C28,No Noise,733,19.4
C29,No Noise,1195,19.1
C30,No Noise,7,20.4
N29,acute noise,691,20.6
N30,acute noise,1752,17.1
N31,acute noise,1866,23.2
N32,acute noise,438,20.1
N33,acute noise,1949,18.4
N34,acute noise,217,19.5
N35,acute noise,55,20.7
N36,acute noise,2060,20.6
N37,acute noise,916,18.6
N38,acute noise,944,21.9
N39,acute noise,850,21.1
N40,acute noise,2513,24.7
N41,acute noise,228,20.3
N42,acute noise,20,18.8
N43,acute noise,1514,19
N44,acute noise,0,NA
N45,acute noise,2736,19.5
N46,acute noise,766,24.4
N47,acute noise,2542,24.7
N48,acute noise,344,21.4
N49,acute noise,112,17.9
N50,acute noise,71,16.4
N51,acute noise,308,16.7
N52,acute noise,1338,20.4
C31,No Noise,993,27.2
C32,No Noise,0,NA
C33,No Noise,264,25.4
C34,No Noise,160,19.1
C35,No Noise,52,22.7
C36,No Noise,173,21.5
C37,No Noise,1455,20.4
C38,No Noise,751,20.5
C39,No Noise,991,20.4
C40,No Noise,583,17.6
C41,No Noise,493,19.4
C42,No Noise,1100,17.8
C43,No Noise,30,18.6
C44,No Noise,645,19.2
C45,No Noise,1335,23.6
C46,No Noise,635,21.5
C47,No Noise,449,17.8
C48,No Noise,59,18.3
C49,No Noise,990,19.7
C50,No Noise,1354,20.9
C51,No Noise,819,17.4
C52,No Noise,128,19.3
C53,No Noise,1777,21.3
C54,No Noise,394,20.7
